,"全部事件 (类型+操作+标签)","事件总数","唯一访客事件数","事件价值","平均价值",
229,"A_english_entrance+scroll+_2018/10/27 0:29:2_92%_86","1","1","0","0",
230,"A_english_entrance+scroll+_2018/10/22 0:32:44_12%_12","1","1","0","0",
231,"A_english_entrance+scroll+_2018/10/27 0:37:55_71%_38","1","1","0","0",
232,"A_english_entrance+scroll+_2018/10/26 0:7:32_11%_6","1","1","0","0",
233,"A_english_entrance+scroll+_2018/10/27 0:8:1_4%_6","1","1","0","0",
234,"A_english_entrance+scroll+_2018/10/30 0:10:35_80%_70","1","1","0","0",
235,"A_english_entrance+scroll+_2018/10/23 0:10:22_54%_60","1","1","0","0",
236,"A_english_entrance+scroll+_2018/10/26 0:10:2_23%_16","1","1","0","0",
237,"A_english_entrance+scroll+_2018/10/26 0:14:34_9%_74","1","1","0","0",
238,"A_english_entrance+scroll+_2018/10/28 23:57:41_77%_166","1","1","0","0",
239,"A_english_entrance+scroll+_2018/10/22 1:54:17_66%_245","1","1","0","0",
240,"A_english_entrance+scroll+_2018/10/29 23:57:52_75%_158","1","1","0","0",
241,"A_english_entrance+scroll+_2018/10/27 0:20:52_12%_12","1","1","0","0",
242,"A_english_entrance+scroll+_2018/10/29 0:13:37_97%_48","1","1","0","0",
243,"A_english_entrance+scroll+_2018/10/22 0:56:16_61%_23","1","1","0","0",
244,"A_english_entrance+scroll+_2018/10/28 1:6:39_54%_105","1","1","0","0",
245,"A_english_entrance+scroll+_2018/10/28 0:38:6_21%_21","1","1","0","0",
246,"A_english_entrance+scroll+_2018/10/26 0:0:40_10%_6","1","1","0","0",
247,"A_english_entrance+scroll+_2018/10/26 23:59:57_13%_12","1","1","0","0",
248,"A_english_entrance+scroll+_2018/10/28 0:14:46_75%_65","1","1","0","0",
249,"A_english_entrance+scroll+_2018/10/25 0:34:2_32%_14","1","1","0","0",
250,"A_english_entrance+scroll+_2018/10/31 0:15:50_82%_56","1","1","0","0",
251,"A_english_entrance+scroll+_2018/10/26 0:8:52_3%_9","1","1","0","0",
252,"A_english_entrance+scroll+_2018/10/27 0:8:27_1%_20","1","1","0","0",
253,"A_english_entrance+scroll+_2018/10/30 0:49:47_10%_8","1","1","0","0",
254,"A_english_entrance+scroll+_2018/10/29 23:29:10_14%_9","1","1","0","0",
255,"A_english_entrance+scroll+_2018/10/23 0:7:27_16%_30","1","1","0","0",
256,"A_english_entrance+scroll+_2018/10/22 0:30:30_16%_29","1","1","0","0",
257,"A_english_entrance+scroll+_2018/10/24 0:11:18_38%_24","1","1","0","0",
