序号,全部事件 (类型+操作+标签),事件总数,唯一访客事件数,事件价值,平均价值
,A_english_entrance+scroll+_2018/10/28 0:20:57_79%_165,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:24:52_72%_52,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:31:12_64%_113,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:1:18_13%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:36:14_60%_94,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:42_3%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 23:57:41_74%_164,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 1:34:37_49%_218,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:6:28_90%_28,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:55_19%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:37_15%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:3:41_82%_47,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:9:14_9%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:14:1_10%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:2:36_58%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:9:51_34%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:39_32%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 16:18:52_92%_133,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:26:52_58%_55,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 23:58:49_101942%_83,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:38:3_13%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:33:56_NaN%_195,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:18:37_12%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:23:16_10%_33,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:8:34_83%_37,1,1,0,0
,ENGLISH+UID：2619580092291000909+http:/english/user/get_base_user_info-e-20289-timeout of 10000ms exceeded,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:3:59_5%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:19:37_24%_17,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:5:24_50%_47,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:15:27_47%_26,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:25:25_50%_70,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:6:9_5%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:4:17_21%_41,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:30:30_75%_39,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:10:0_30%_40,1,1,0,0
,A_english_entrance+scroll+_2018/10/21 12:2:43_18%_46,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:38:59_75%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:21:29_12%_32,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:12:24_22%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 2:56:52_30%_62,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:11:12_28%_11,1,1,0,0
,ENGLISH+UID：2619735130092327153+http:/english/study/reading_exam_list-e-20274-timeout of 10000ms exceeded,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:12:9_38%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:36:16_76%_42,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 23:58:26_98%_131,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:11:51_3%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:15:33_2%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:0:27_12%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:35:21_3%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:37:55_67%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:13:15_5%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:4:21_48%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:21:42_5%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:48:9_21%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:6:39_45%_97,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 1:49:9_72%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:20:57_6%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:28:15_79%_99,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:2:12_20%_59,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:6:51_48%_67,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:1:46_29%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:22:49_13%_34,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:34:0_10%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:10:50_77%_71,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:10:22_26%_36,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:19:44_14%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:14:23_86%_133,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:4:27_49%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:25:33_30%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:2:3_48%_95,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:45:37_100%_183,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:14:34_84%_263,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:20:57_34%_56,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:13:27_18%_59,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:37:55_76%_113,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:23:26_14%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:35:28_60%_105,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:29:2_32%_34,1,1,0,0
,ENGLISH+UID：2619735130114614520+http:/english/user/get_base_user_info-e-20257-timeout of 10000ms exceeded,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:17:29_27%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:22:34_2%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 1:1:56_502%_5,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:2:55_94%_52,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:2:11_17%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:12:52_24%_33,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:42_86%_81,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:29:25_89%_64,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:12:52_66%_143,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:8:3_56%_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:23:7_73%_82,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:27:2_16%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:9:43_21%_37,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:10:26_19%_27,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:34:2_29%_11,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:17:32_37%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:37:16_100%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:34:4_10%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:22:28_3%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:6:25_1%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:29:2_92%_86,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:32:44_12%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:37:55_71%_38,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:7:32_11%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:8:1_4%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:10:35_80%_70,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:10:22_54%_60,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:10:2_23%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:14:34_9%_74,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 23:57:41_77%_166,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 1:54:17_66%_245,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 23:57:52_75%_158,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:20:52_12%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:13:37_97%_48,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:56:16_61%_23,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:6:39_54%_105,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:38:6_21%_21,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:0:40_10%_6,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 23:59:57_13%_12,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:14:46_75%_65,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:34:2_32%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:15:50_82%_56,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:8:52_3%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:8:27_1%_20,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:49:47_10%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 23:29:10_14%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:7:27_16%_30,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:30:30_16%_29,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:11:18_38%_24,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 0:38:2_7%_8,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:9:59_3%_7,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:15:18_49%_47,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:42:22_61%_74,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:0:42_12%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:0:56_55%_68,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:3:55_32%_64,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:13:37_43%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:46:42_25%_46,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:4:2_55%_88,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:39:1_23%_31,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:31:12_11%_13,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:15:25_96%_103,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:23:22_65%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:2:16_6%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:5:26_23%_25,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:19:50_49%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:13:57_77%_19,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:6:11_73%_58,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:0:2_2%_4,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:0:22_6%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:2:3_5%_27,1,1,0,0
,A_english_entrance+scroll+_2018/10/31 0:24:36_26%_51,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 0:2:8_3%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 16:18:52_64%_57,1,1,0,0
,A_english_entrance+scroll+_2018/10/23 0:0:50_42%_9,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:7:40_105%_52,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:29:44_57%_16,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:5:7_14%_38,1,1,0,0
,A_english_entrance+scroll+_2018/10/27 0:23:22_57%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 0:8:51_26%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/25 0:2:12_96%_94,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:28:49_1%_22,1,1,0,0
,A_english_entrance+scroll+_2018/10/28 1:13:37_95%_44,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:22:9_88%_239,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:29:39_9%_14,1,1,0,0
,A_english_entrance+scroll+_2018/10/26 23:59:47_39%_18,1,1,0,0
,A_english_entrance+scroll+_2018/10/30 0:18:16_13%_3,1,1,0,0
,A_english_entrance+scroll+_2018/10/29 0:22:35_2%_2,1,1,0,0
,A_english_entrance+scroll+_2018/10/22 1:54:17_63%_237,1,1,0,0
,A_english_entrance+scroll+_2018/10/24 0:2:35_11%_21,1,1,0,0
