# ----------------------------------------
# 全部网站数据
# 热门事件
# 20190717-20190720
# ----------------------------------------

事件标签,事件总数,唯一身份事件数,事件价值,平均价值
2618666497926329632_2019/7/19 23:55:15_82%_54,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_83%_55,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_86%_56,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_88%_60,1,1,0,0.00
2618666497926329632_2019/7/19 23:55:15_94%_60,1,1,0,0.00
2618666497926409871_2019/7/20 20:4:25_100%_14,1,1,0,0.00
2618666497926411934_2019/7/20 0:2:10_3%_4,1,1,0,0.00
2618666497926411934_2019/7/20 0:2:10_4%_5,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_14%_14,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_22%_15,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_33%_22,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_42%_23,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_43%_27,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_51%_31,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_60%_53,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_7%_10,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_71%_54,1,1,0,0.00
2618666497928075241_2019/7/20 22:49:42_80%_54,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_100%_110,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_19%_26,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_27%_27,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_30%_40,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_32%_46,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_37%_53,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_40%_65,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_44%_69,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_56%_80,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_6%_11,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_61%_86,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_83%_96,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_92%_97,1,1,0,0.00
2618666497928154910_2019/7/19 23:38:9_99%_103,1,1,0,0.00
2618972521795499272_2019/7/20 23:30:51_11%_15,1,1,0,0.00
2618972521795499272_2019/7/20 23:30:51_2%_6,1,1,0,0.00
2618972521795499272_2019/7/20 23:30:51_20%_16,1,1,0,0.00
2618972521795499272_2019/7/20 23:30:51_36%_17,1,1,0,0.00
2618972521795499272_2019/7/20 23:30:51_5%_6,1,1,0,0.00
